id,url,name,season,number,type,airdate,airtime,airstamp,runtime,image,summary
1968113,https://www.tvmaze.com/episodes/1968113/po-sezonu-videodajdzest-seasonvar-6x50-vypusk-304,Выпуск 304,6,50.0,regular,2020-12-11,,2020-12-11T00:00:00+00:00,9.0,,
1961004,https://www.tvmaze.com/episodes/1961004/cuma-2x07-seria-13,Серия 13,2,7.0,regular,2020-12-11,,2020-12-11T00:00:00+00:00,22.0,,
1976572,https://www.tvmaze.com/episodes/1976572/zakon-i-besporyadok-1x05-seria-5,Серия 5,1,5.0,regular,2020-12-11,12:00,2020-12-11T00:00:00+00:00,30.0,,
1986873,https://www.tvmaze.com/episodes/1986873/kotiki-1x10-seria-10,Серия 10,1,10.0,regular,2020-12-11,,2020-12-11T00:00:00+00:00,12.0,,
2030151,https://www.tvmaze.com/episodes/2030151/fox-spirit-matchmaker-9x01-episode-122,Episode 122,9,1.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,10.0,,
2030152,https://www.tvmaze.com/episodes/2030152/fox-spirit-matchmaker-9x02-episode-123,Episode 123,9,2.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,10.0,,
1972563,https://www.tvmaze.com/episodes/1972563/the-wolf-1x21-episode-21,Episode 21,1,21.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,45.0,,
1972564,https://www.tvmaze.com/episodes/1972564/the-wolf-1x22-episode-22,Episode 22,1,22.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,45.0,,
1910447,https://www.tvmaze.com/episodes/1910447/the-founder-of-diabolism-q-1x21-a-tutorial,A Tutorial,1,21.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,5.0,,
1998576,https://www.tvmaze.com/episodes/1998576/mr-right-is-here-1x05-episode-5,Episode 5,1,5.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,45.0,,
1998577,https://www.tvmaze.com/episodes/1998577/mr-right-is-here-1x06-episode-6,Episode 6,1,6.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,45.0,,
2013866,https://www.tvmaze.com/episodes/2013866/kl-gangster-underworld-2x02-episode-2,Episode 2,2,2.0,regular,2020-12-11,12:00,2020-12-11T04:00:00+00:00,45.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/294/736863.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/294/736863.jpg'}",
2082174,https://www.tvmaze.com/episodes/2082174/ling-jian-zun-4x31-di131ji,第131集,4,31.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,10.0,,
2080224,https://www.tvmaze.com/episodes/2080224/supreme-god-emperor-1x62-episode-62,Episode 62,1,62.0,regular,2020-12-11,,2020-12-11T04:00:00+00:00,10.0,,
1976709,https://www.tvmaze.com/episodes/1976709/familien-lykke-1x10-kjottbullar-og-morraduller,Kjøttbullar og morraduller,1,10.0,regular,2020-12-11,06:00,2020-12-11T05:00:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/285/714186.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/285/714186.jpg'}","<p>Randi has to swallow many camels to get the family to Harry's shop. Liam never gets peace of mind, and August tries to cut the umbilical cord.</p>"
1977319,https://www.tvmaze.com/episodes/1977319/stjernestov-1x11-episode-11,Episode 11,1,11.0,regular,2020-12-11,06:00,2020-12-11T05:00:00+00:00,16.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/290/726345.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/290/726345.jpg'}",
1986082,https://www.tvmaze.com/episodes/1986082/bebaakee-1x16-room-service,Room Service,1,16.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/722471.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/722471.jpg'}",
1986866,https://www.tvmaze.com/episodes/1986866/bebaakee-1x17-hear-no-evil-see-no-evil-say-no-evil,"Hear No Evil, See No Evil, Say No Evil",1,17.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/289/722703.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/289/722703.jpg'}",
1987322,https://www.tvmaze.com/episodes/1987322/bebaakee-1x18-fathers-day-out,Father's Day Out,1,18.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/289/723158.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/289/723158.jpg'}",
1987457,https://www.tvmaze.com/episodes/1987457/bebaakee-1x19-rishta-20,Rishta 2.0,1,19.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/289/723213.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/289/723213.jpg'}",
1988019,https://www.tvmaze.com/episodes/1988019/bebaakee-1x20-dangerous-liaisons,Dangerous Liaisons,1,20.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/289/723398.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/289/723398.jpg'}",
1988462,https://www.tvmaze.com/episodes/1988462/bebaakee-1x21-once-a-mistake-twice-a-habit,Once a Mistake Twice a Habit,1,21.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/289/724073.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/289/724073.jpg'}",
1988638,https://www.tvmaze.com/episodes/1988638/bebaakee-1x22-friend-conquest,Friend Conquest,1,22.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/289/724661.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/289/724661.jpg'}",
1988973,https://www.tvmaze.com/episodes/1988973/bebaakee-1x23-wedding-breaker,Wedding Breaker,1,23.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/290/725006.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/290/725006.jpg'}",
1990129,https://www.tvmaze.com/episodes/1990129/bebaakee-1x24-wedding-bells-gone-wrong,Wedding Bells Gone Wrong,1,24.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/290/725660.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/290/725660.jpg'}",
1990319,https://www.tvmaze.com/episodes/1990319/bebaakee-1x25-shaadi-mubarak,Shaadi Mubarak,1,25.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/290/725875.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/290/725875.jpg'}",
1990995,https://www.tvmaze.com/episodes/1990995/bebaakee-1x26-shaadi-ke-side-effects,Shaadi Ke Side Effects,1,26.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/290/726372.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/290/726372.jpg'}",
1991484,https://www.tvmaze.com/episodes/1991484/bebaakee-1x27-ski-fall,Ski Fall,1,27.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/290/726570.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/290/726570.jpg'}",
1992711,https://www.tvmaze.com/episodes/1992711/bebaakee-1x28-gossips-and-scandals,Gossips and Scandals,1,28.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/290/726763.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/290/726763.jpg'}",
1993619,https://www.tvmaze.com/episodes/1993619/bebaakee-1x29-divide-and-rule,Divide and Rule,1,29.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/290/727239.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/290/727239.jpg'}",
1994126,https://www.tvmaze.com/episodes/1994126/bebaakee-1x30-sealed-with-a-kiss,Sealed with a Kiss,1,30.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/291/727599.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/291/727599.jpg'}",
1995389,https://www.tvmaze.com/episodes/1995389/bebaakee-1x31-do-or-die,Do or Die,1,31.0,regular,2020-12-11,12:00,2020-12-11T06:30:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/291/728015.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/291/728015.jpg'}",
2055644,https://www.tvmaze.com/episodes/2055644/triples-1x01-the-wedding-guest,The Wedding Guest,1,1.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
2055645,https://www.tvmaze.com/episodes/2055645/triples-1x02-ex-factor,Ex Factor,1,2.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
2055646,https://www.tvmaze.com/episodes/2055646/triples-1x03-triples,Triples,1,3.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
2055647,https://www.tvmaze.com/episodes/2055647/triples-1x04-gone-in-60-seconds,Gone in 60 Seconds,1,4.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
2055648,https://www.tvmaze.com/episodes/2055648/triples-1x05-mad-max-mylapore,Mad Max Mylapore,1,5.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
2055649,https://www.tvmaze.com/episodes/2055649/triples-1x06-go-goa-gone,Go. Goa. Gone.,1,6.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
2055650,https://www.tvmaze.com/episodes/2055650/triples-1x07-hide-seek,Hide & Seek,1,7.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
2055651,https://www.tvmaze.com/episodes/2055651/triples-1x08-all-is-well,All is Well,1,8.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
2132709,https://www.tvmaze.com/episodes/2132709/uncommon-sense-with-saloni-1x06-gaming-in-india,Gaming in India,1,6.0,regular,2020-12-11,,2020-12-11T06:30:00+00:00,,,
1965923,https://www.tvmaze.com/episodes/1965923/new-japan-pro-wrestling-2020-12-11-world-tag-league-2020best-of-the-super-jr27-finals,WORLD TAG LEAGUE 2020/BEST OF THE SUPER Jr.27 Finals,2020,86.0,regular,2020-12-11,18:00,2020-12-11T09:00:00+00:00,120.0,,
1924889,https://www.tvmaze.com/episodes/1924889/grand-4x18-82-vot-eto-kino,82. Вот это кино!,4,18.0,regular,2020-12-11,21:00,2020-12-11T09:00:00+00:00,25.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/720925.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/720925.jpg'}",
1995016,https://www.tvmaze.com/episodes/1995016/eteros-ego-chamenes-psyches-2x01-the-third-candidate,The Third Candidate,2,1.0,regular,2020-12-11,,2020-12-11T10:00:00+00:00,50.0,,"<p>The mysterious murder of a female student causes unrest in university circles. With a close suspect, a close associate and friend, Professor Dimitris Lainis hastens to unravel the mystery.</p>"
1995058,https://www.tvmaze.com/episodes/1995058/eteros-ego-chamenes-psyches-2x02-new-world-order,New World Order,2,2.0,regular,2020-12-11,,2020-12-11T10:00:00+00:00,50.0,,"<p>Investigations into the murder have begun. And while the new Deputy Chief is determined to change everything, a mysterious file reaches the hands of the Director of Police Laboratories.</p>"
1995062,https://www.tvmaze.com/episodes/1995062/eteros-ego-chamenes-psyches-2x03-daughter-of-forkeas,Daughter of Forkeas,2,3.0,regular,2020-12-11,,2020-12-11T10:00:00+00:00,50.0,,"<p>Continuing the search for the murdered student, the police take DNA and fingerprints from the professors and the university staff. The pressure peaks when a new corpse is discovered.</p>"
1995063,https://www.tvmaze.com/episodes/1995063/eteros-ego-chamenes-psyches-2x04-enemies-within-gates,Enemies Within Gates,2,4.0,regular,2020-12-11,,2020-12-11T10:00:00+00:00,50.0,,"<p>The two victims have one thing in common: a tattoo on Medusa's head. Later, after his visit to the University, Lieutenant Sklavis finds a note with the name of a girl.</p>"
1995064,https://www.tvmaze.com/episodes/1995064/eteros-ego-chamenes-psyches-2x05-a-new-alliance,A New Alliance,2,5.0,regular,2020-12-11,,2020-12-11T10:00:00+00:00,50.0,,"<p>Everything shows that the organization continues its activities. And while Christina is doing an interview in prison, the police visit the mother of the murdered student. Is there any new evidence of her death.</p>"
1995065,https://www.tvmaze.com/episodes/1995065/eteros-ego-chamenes-psyches-2x06-king-under-threat,King Under Threat,2,6.0,regular,2020-12-11,,2020-12-11T10:00:00+00:00,50.0,,"<p>A new suitor for the position of the leader of the organization makes his appearance. Meanwhile, police officer Carra continues the investigation, while a creepy video reaches the hands of Velissaratos.</p>"
1995066,https://www.tvmaze.com/episodes/1995066/eteros-ego-chamenes-psyches-2x07-the-three-packages,The Three Packages,2,7.0,regular,2020-12-11,,2020-12-11T10:00:00+00:00,50.0,,"<p>While Lainis learns about the video, journalist Stergiou risks her life again. Meanwhile, the police continue the investigations and the unexpected meeting of two members of the organization brings upset.</p>"
1995067,https://www.tvmaze.com/episodes/1995067/eteros-ego-chamenes-psyches-2x08-an-unbearable-victory,An Unbearable Victory,2,8.0,regular,2020-12-11,,2020-12-11T10:00:00+00:00,50.0,,"<p>All the pieces of the puzzle are in place. All that is missing is the arrest of the culprits and the identification of the Reptile. A voluntary testimony will lead the police to a meeting with him, in the subversive finale.</p>"
1985246,https://www.tvmaze.com/episodes/1985246/growing-season-1x02-episode-2,Episode 2,1,2.0,regular,2020-12-11,19:00,2020-12-11T10:00:00+00:00,20.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/721778.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/721778.jpg'}",
1973129,https://www.tvmaze.com/episodes/1973129/bettys-diagnose-7x14-vertrauenssache,Vertrauenssache,7,14.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,45.0,,
1971931,https://www.tvmaze.com/episodes/1971931/hver-gang-vi-motes-10x11-program-6-del-1,Program 6 - del 1,10,11.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,42.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/721124.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/721124.jpg'}",
1971933,https://www.tvmaze.com/episodes/1971933/hver-gang-vi-motes-10x12-program-6-del-2,Program 6 - del 2,10,12.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,22.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/721125.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/721125.jpg'}",
1980927,https://www.tvmaze.com/episodes/1980927/dime-quien-soy-1x03-anushka,Anushka,1,3.0,regular,2020-12-11,12:00,2020-12-11T11:00:00+00:00,50.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/721675.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/721675.jpg'}","<p>Amelia and Pierre arrive in Russia; after a while, things start to go wrong.</p>"
1980462,https://www.tvmaze.com/episodes/1980462/realtimelove-4x04-episode-4,Episode 4,4,4.0,regular,2020-12-11,20:00,2020-12-11T11:00:00+00:00,17.0,,
1983879,https://www.tvmaze.com/episodes/1983879/panelet-2020-12-11-episode-192-maskorama-tiktok-stjerne-og-burgertest,"Episode 192: Maskorama, TikTok-stjerne og burgertest",2020,192.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,21.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/720982.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/720982.jpg'}",
1984173,https://www.tvmaze.com/episodes/1984173/bordtenniskameratene-1x08-skjebneturneringen,Skjebneturneringen,1,8.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,17.0,,
1982658,https://www.tvmaze.com/episodes/1982658/red-light-1x02-maman,Maman,1,2.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,48.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/353/882572.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/353/882572.jpg'}",
1986886,https://www.tvmaze.com/episodes/1986886/colgar-las-alas-1x04-cambiar-de-piel,Cambiar de piel,1,4.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,49.0,,
1990228,https://www.tvmaze.com/episodes/1990228/lassemajas-detektivbyra-1x03-modemysteriet,Modemysteriet,1,3.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,42.0,,
1990229,https://www.tvmaze.com/episodes/1990229/lassemajas-detektivbyra-1x04-kyrkomysteriet,Kyrkomysteriet,1,4.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,42.0,,
1999325,https://www.tvmaze.com/episodes/1999325/de-jacht-op-de-mocro-maffia-2x02-tony-de-g-slaat-door,Tony De G. Slaat Door,2,2.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,40.0,,
2182082,https://www.tvmaze.com/episodes/2182082/for-vi-motes-1x07-episode-7,Episode 7,1,7.0,regular,2020-12-11,,2020-12-11T11:00:00+00:00,8.0,,
1979330,https://www.tvmaze.com/episodes/1979330/the-young-turks-2020-12-11-december-11-2020-hour-1,"December 11, 2020 - Hour 1",2020,299.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,120.0,,
1979331,https://www.tvmaze.com/episodes/1979331/the-young-turks-2020-12-11-december-11-2020-hour-2,"December 11, 2020 - Hour 2",2020,300.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,120.0,,
2176128,https://www.tvmaze.com/episodes/2176128/scishow-2020-12-11-could-we-have-universal-flu-vaccine,Could we Have Universal Flu Vaccine?,2020,338.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,,,
1971958,https://www.tvmaze.com/episodes/1971958/the-wilds-1x01-day-one,Day One,1,1.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,58.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/720822.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/720822.jpg'}","<p>Nine teenage girls are en route to Hawaii when their plane fails, leaving them stranded on a remote island. Among them we meet Leah, who has survived to tell their story to a pair of federal investigators. Flashbacks offer an intimate look at Leah's pre-island life, and the taboo relationship that broke her heart.</p>"
1974801,https://www.tvmaze.com/episodes/1974801/the-wilds-1x02-day-two,Day Two,1,2.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,48.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/720823.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/720823.jpg'}","<p>The castaways are still reeling after a tragic event. Frustrated by everyone else's inaction, Rachel leads an expedition to the island's summit to get a lay of the land. We learn more about her career as an elite athlete, the extreme measures she's taken to succeed, and the brutal truth that she isn't sharing with the others.</p>"
1974802,https://www.tvmaze.com/episodes/1974802/the-wilds-1x03-day-three,Day Three,1,3.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,55.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/720824.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/720824.jpg'}","<p>Leah, Rachel, and Nora swim out to the plane wreckage and return with a crucial find. Fellow Texans Dot and Shelby search for a cave that might provide better shelter, but their contentious relationship makes matters difficult. Flashbacks reveal heart-wrenching secrets about Dot's home life.</p>"
1974803,https://www.tvmaze.com/episodes/1974803/the-wilds-1x04-day-six,Day Six,1,4.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,47.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/720825.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/720825.jpg'}","<p>A shelter-building contest turns ugly. Toni provokes strife on her team, and we'll learn in flashback that this isn't the first time her rage issues have caused devastating harm.</p>"
1974804,https://www.tvmaze.com/episodes/1974804/the-wilds-1x05-day-seven,Day Seven,1,5.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,44.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/720826.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/720826.jpg'}","<p>When one of the castaways goes missing, a search party heads out to find her. We learn more about Fatin's past, which isn't exactly the glamorous thrill ride the others thought it was. At the end of their exhausting day, the girls make a shocking discovery that stokes Leah's doubts about the island.</p>"
1974805,https://www.tvmaze.com/episodes/1974805/the-wilds-1x06-day-twelve,Day Twelve,1,6.0,regular,2020-12-11,,2020-12-11T12:00:00+00:00,58.0,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/288/720827.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/720827.jpg'}","<p>A sudden illness rips through the beach camp, affecting nearly every castaway. As the girls fight for survival, we learn more about Leah's past and how she's been faring since her rescue.</p>"
