_embedded_show_id,_embedded_show_url,_embedded_show_name,_embedded_show_type,_embedded_show_language,_embedded_show_genres,_embedded_show_status,_embedded_show_runtime,_embedded_show_averageRuntime,_embedded_show_premiered,_embedded_show_ended,_embedded_show_officialSite,_embedded_show_weight,_embedded_show_webChannel,_embedded_show_dvdCountry,_embedded_show_summary,_embedded_show_updated
10892,https://www.tvmaze.com/shows/10892/troe-iz-prostokvasino,Трое из Простоквашино,Animation,Russian,"['Children', 'Family']",Running,7.0,15.0,1978-06-10,,https://okko.tv/serial/prostokvashino,41,,,,1651338648
19628,https://www.tvmaze.com/shows/19628/top-10-po-versii-seasonvarru,ТОП-10 по версии Seasonvar.ru,Talk Show,Russian,[],Running,9.0,9.0,2015-11-27,,http://seasonvar.ru/serial-12772-TOP-10_po_versii_Seasonvarru-1-season.html,28,"{'id': 56, 'name': 'Seasonvar', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}",,,1651181449
51471,https://www.tvmaze.com/shows/51471/hero-return,Hero Return,Animation,Chinese,"['Action', 'Anime', 'Science-Fiction']",Running,15.0,16.0,2020-10-18,,https://v.qq.com/detail/q/q72jd29a3oxflsr.html,76,"{'id': 104, 'name': 'Tencent QQ', 'country': {'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}, 'officialSite': 'https://v.qq.com/'}",,"<p>Zero was mankind's first real superhero. Under his watch, countless other superheros appeared and followed in his footsteps. However, after 5 years of war, Zero disappeared without a trace.<br /><br />(Source: zeroscans)</p>",1603467037
52178,https://www.tvmaze.com/shows/52178/swallowed-star,Swallowed Star,Animation,Chinese,"['Anime', 'Science-Fiction']",Running,,21.0,2020-11-29,,https://v.qq.com/detail/3/324olz7ilvo2j5f.html,88,"{'id': 104, 'name': 'Tencent QQ', 'country': {'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}, 'officialSite': 'https://v.qq.com/'}",,"<p>One day, an unexplained RR virus appeared on the earth, drawing the world into disaster. Infected animals mutated into terrible monsters, invaded massively, and humans built walls around the destruction and established the base city as the last bastion for humans. The suffering that mankind has experienced during this period of time is known as the ""Great Nirvana Period."" Not only that, Luo Feng not only carried the burden of supporting the family but also to protect the human homeland, for the better survival and development of mankind, together with other justice warriors, to join hands against the fierce monsters. Under the desperate situation of the end, can Luo Feng and other warriors repel monsters and successfully protect the human world?</p>",1648370962
54033,https://www.tvmaze.com/shows/54033/wu-shen-zhu-zai,Wu Shen Zhu Zai,Animation,Chinese,"['Action', 'Adventure', 'Anime', 'Fantasy']",Running,8.0,8.0,2020-03-08,,https://v.qq.com/detail/m/7q544xyrava3vxf.html,76,"{'id': 104, 'name': 'Tencent QQ', 'country': {'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}, 'officialSite': 'https://v.qq.com/'}",,"<p>The protagonist Qin Chen, who was originally the top genius in the military domain, was conspired by the people to fall into the death canyon in the forbidden land of the mainland. Qin Chen, who was inevitably dead, unexpectedly triggered the power of the mysterious ancient sword.<br /><br />Three hundred years later, in a remote part of the Tianwu mainland, a boy of the same name accidentally inherited Qin Chen's will. As the beloved grandson of King Dingwu of the Daqi National Army, due to the birth father's birth, the mother and son were treated coldly in Dingwu's palace and lived together. In order to rewrite the myth of the strong man in hope of the sun, and to protect everything he loves, Qin Chen resolutely took up the responsibility of maintaining the five kingdoms of the world and set foot on the road of martial arts again.</p>",1649423444
50398,https://www.tvmaze.com/shows/50398/mans-diary,Man's Diary,Animation,Chinese,"['Anime', 'Supernatural']",Running,12.0,12.0,2019-07-21,,https://www.bilibili.com/bangumi/media/md4314622,3,"{'id': 51, 'name': 'Bilibili', 'country': {'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}, 'officialSite': None}",,"<p>In the twenty-first century, gods and demons can no longer maintain balance due to the rapid development of human society. In an effort to restore proper order, the gods began to take care of saving the world, for which they sent a group of gods and monsters to the world of people, who must find there the "" key "" to salvation. Su moting is a girl with the personality of ""demon child"". When her parents asked her to leave home so that she could become independent and independent, she met the beautiful and charming God of Tianjin and the mysterious demon cat. So begins a new turbulent round of su moting's life.</p><p><br /> </p>",1611039497
52898,https://www.tvmaze.com/shows/52898/legend-of-yun-qian,Legend of Yun Qian,Scripted,Chinese,"['Drama', 'Romance', 'History']",Ended,4.0,4.0,2020-12-21,2020-12-31,,67,"{'id': 445, 'name': 'CTI TV', 'country': {'name': 'Taiwan, Province of China', 'code': 'TW', 'timezone': 'Asia/Taipei'}, 'officialSite': None}",,"<p>The disciples of the Lingchuan Sect have guarded the Fans of Heaven and Earth for nearly a century. Mu Yun and Hua Yue are the only disciples of the sect that are left. The stubborn and disobedient Hua Yue unintentionally discovers that the Fan of Heaven possesses the power to travel through time. To escape being forced to study and practice martial arts by Mu Yun, Hua Yue travels to the future to have fun. Hundreds of years in the future she meets Xiao Qian who looks exactly like her. Secrets come to the surface, and adventures take place.</p>",1649956202
49948,https://www.tvmaze.com/shows/49948/love-revolution,Love Revolution,Scripted,Korean,"['Drama', 'Comedy', 'Romance']",Ended,20.0,20.0,2020-09-01,2020-12-27,https://tv.kakao.com/channel/3643849/cliplink/412069527?metaObjectType=Channel,34,"{'id': 294, 'name': 'Kakao TV', 'country': {'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}, 'officialSite': 'https://tv.kakao.com/top'}",,"<p>The story of the ""unique romance"" about teenagers navigating love, friendship, and the chaos of high school. The story will focus mainly on Gong Joo Young, a cute and lovable student who falls in love at first sight with the standoffish and popular Wang Ja Rim. Unwavering in his love for Wang Ja Rim, the confident and cheerful Gong Joo Young isn't shy about his feelings and is determined to win her heart no matter what. However, despite his gentle, sweet nature when it comes to love, Gong Joo Young is also a steadfast, loyal friend who shows off a tougher and more mature side when his friends need his help.</p>",1609616788
49948,https://www.tvmaze.com/shows/49948/love-revolution,Love Revolution,Scripted,Korean,"['Drama', 'Comedy', 'Romance']",Ended,20.0,20.0,2020-09-01,2020-12-27,https://tv.kakao.com/channel/3643849/cliplink/412069527?metaObjectType=Channel,34,"{'id': 294, 'name': 'Kakao TV', 'country': {'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}, 'officialSite': 'https://tv.kakao.com/top'}",,"<p>The story of the ""unique romance"" about teenagers navigating love, friendship, and the chaos of high school. The story will focus mainly on Gong Joo Young, a cute and lovable student who falls in love at first sight with the standoffish and popular Wang Ja Rim. Unwavering in his love for Wang Ja Rim, the confident and cheerful Gong Joo Young isn't shy about his feelings and is determined to win her heart no matter what. However, despite his gentle, sweet nature when it comes to love, Gong Joo Young is also a steadfast, loyal friend who shows off a tougher and more mature side when his friends need his help.</p>",1609616788
53094,https://www.tvmaze.com/shows/53094/youtuber-class,Youtuber Class,Scripted,Korean,"['Drama', 'Romance']",Ended,11.0,13.0,2020-12-27,2021-01-17,https://m.tv.naver.com/whynottv/home,24,"{'id': 30, 'name': 'Naver TVCast', 'country': {'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}, 'officialSite': 'https://tv.naver.com/'}",,,1611507979
