_embedded_show_schedule_time,_embedded_show_schedule_days
,['Monday']
23:45,['Saturday']
10:00,['Tuesday']
10:00,"['Tuesday', 'Sunday']"
,"['Tuesday', 'Wednesday']"
,"['Tuesday', 'Wednesday']"
22:00,['Tuesday']
,['Tuesday']
,['Tuesday']
19:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Tuesday', 'Friday']"
08:00,['Sunday']
17:00,['Tuesday']
06:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
17:00,"['Tuesday', 'Friday']"
,['Friday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Tuesday']
,['Tuesday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,[]
,[]
,['Tuesday']
,[]
,['Monday']
,[]
,"['Tuesday', 'Wednesday', 'Thursday']"
,['Tuesday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Tuesday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
,['Tuesday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
,"['Tuesday', 'Friday']"
,['Monday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
,['Tuesday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,"['Monday', 'Tuesday']"
,"['Monday', 'Tuesday']"
,"['Monday', 'Tuesday']"
,"['Monday', 'Tuesday']"
,[]
,[]
,[]
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
20:45,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
22:00,['Tuesday']
08:30,['Saturday']
22:00,['Tuesday']
00:25,['Tuesday']
,[]
,[]
,[]
,[]
,['Tuesday']
,['Tuesday']
,[]
20:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
