_embedded_show_webChannel_id,_embedded_show_webChannel_name,_embedded_show_webChannel_country,_embedded_show_webChannel_officialSite
21,YouTube,,https://www.youtube.com
366,Okko,"{'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}",
245,Start,"{'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}",
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
380,Seezn,"{'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}",https://www.seezntv.com/
30,Naver TVCast,"{'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}",https://tv.naver.com/
67,iQIYI,,https://www.iq.com/
67,iQIYI,,https://www.iq.com/
118,Youku,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",
118,Youku,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",
445,CTI TV,"{'name': 'Taiwan, Province of China', 'code': 'TW', 'timezone': 'Asia/Taipei'}",
118,Youku,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",
216,Vidol,"{'name': 'Taiwan, Province of China', 'code': 'TW', 'timezone': 'Asia/Taipei'}",
226,Mango TV,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://w.mgtv.com/
226,Mango TV,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://w.mgtv.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
380,Seezn,"{'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}",https://www.seezntv.com/
447,GAIN,"{'name': 'Turkey', 'code': 'TR', 'timezone': 'Europe/Istanbul'}",
447,GAIN,"{'name': 'Turkey', 'code': 'TR', 'timezone': 'Europe/Istanbul'}",
30,Naver TVCast,"{'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}",https://tv.naver.com/
379,Shahid,,
327,TV 2 Play,"{'name': 'Norway', 'code': 'NO', 'timezone': 'Europe/Oslo'}",
238,NRK TV,"{'name': 'Norway', 'code': 'NO', 'timezone': 'Europe/Oslo'}",
3,Prime Video,,https://www.primevideo.com
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
195,WOW Presents Plus,,http://www.wowpresentsplus.com
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
21,YouTube,,https://www.youtube.com
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
21,YouTube,,https://www.youtube.com
173,discovery+,,https://www.discoveryplus.com/
21,YouTube,,https://www.youtube.com
88,LINE TV,,https://www.linetv.tw/
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
51,Bilibili,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",
51,Bilibili,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
21,YouTube,,https://www.youtube.com
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
21,YouTube,,https://www.youtube.com
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
67,iQIYI,,https://www.iq.com/
67,iQIYI,,https://www.iq.com/
21,YouTube,,https://www.youtube.com
67,iQIYI,,https://www.iq.com/
67,iQIYI,,https://www.iq.com/
21,YouTube,,https://www.youtube.com
379,Shahid,,
88,LINE TV,,https://www.linetv.tw/
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
202,Facebook Watch,,
1,Netflix,,https://www.netflix.com/
21,YouTube,,https://www.youtube.com
379,Shahid,,
30,Naver TVCast,"{'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}",https://tv.naver.com/
30,Naver TVCast,"{'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}",https://tv.naver.com/
40,Blip,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
209,ALLBLK,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
21,YouTube,,https://www.youtube.com
311,Dropout,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
26,BBC iPlayer,"{'name': 'United Kingdom', 'code': 'GB', 'timezone': 'Europe/London'}",https://www.bbc.co.uk/iplayer
15,WWE Network,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
45,UFC Fight Pass,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
20,Crunchyroll,,
