_embedded_show_webChannel_country_name,_embedded_show_webChannel_country_code,_embedded_show_webChannel_country_timezone
Russian Federation,RU,Asia/Kamchatka
Russian Federation,RU,Asia/Kamchatka
Russian Federation,RU,Asia/Kamchatka
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
"Taiwan, Province of China",TW,Asia/Taipei
"Taiwan, Province of China",TW,Asia/Taipei
Malaysia,MY,Asia/Kuching
China,CN,Asia/Shanghai
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
India,IN,Asia/Kolkata
Kazakhstan,KZ,Asia/Qyzylorda
"Korea, Republic of",KR,Asia/Seoul
Russian Federation,RU,Asia/Kamchatka
"Korea, Republic of",KR,Asia/Seoul
Sweden,SE,Europe/Stockholm
Sweden,SE,Europe/Stockholm
Sweden,SE,Europe/Stockholm
Sweden,SE,Europe/Stockholm
Spain,ES,Europe/Madrid
"Korea, Republic of",KR,Asia/Seoul
Belgium,BE,Europe/Brussels
Spain,ES,Europe/Madrid
Netherlands,NL,Europe/Amsterdam
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
Norway,NO,Europe/Oslo
China,CN,Asia/Shanghai
Portugal,PT,Europe/Lisbon
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
Portugal,PT,Europe/Lisbon
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
"Korea, Republic of",KR,Asia/Seoul
"Korea, Republic of",KR,Asia/Seoul
Canada,CA,America/Halifax
Canada,CA,America/Halifax
Canada,CA,America/Halifax
Canada,CA,America/Halifax
Canada,CA,America/Halifax
Canada,CA,America/Halifax
Canada,CA,America/Halifax
United States,US,America/New_York
United States,US,America/New_York
